date,open,high,low,close,volume,amount
2008-03-31,2022.3,2079.18,1977.21,1977.53,2.73577292,37.0083557665
2008-04-01,1947.03,1977.27,1800.46,1803.88,2.96145826,36.0898496281
2008-04-02,1804.24,1823.96,1676.93,1688.93,3.12260252,33.4725484988
2008-04-03,1669.52,1767.01,1640.23,1746.19,2.69201672,28.2876809296
2008-04-07,1724.09,1861.7,1704.86,1861.54,3.26890522,38.1026067695
2008-04-08,1867.92,1930.47,1852.0,1917.68,3.71361883,45.470335310299994
2008-04-09,1898.6,1939.09,1798.71,1798.71,3.72603998,45.919290027399995
2008-04-10,1769.69,1889.61,1756.42,1889.61,3.61775222,43.8634278965
2008-04-11,1917.7,1940.8,1891.28,1913.6,3.65304519,47.323986607399995
2008-04-14,1875.47,1934.27,1836.46,1852.94,4.13902409,52.91553426270001
2008-04-15,1842.29,1916.28,1815.25,1916.2,3.33131423,44.734717136499995
2008-04-16,1912.77,1950.7,1875.63,1900.51,2.9521284,40.5375945143
2008-04-17,1915.69,1944.5,1827.11,1860.77,2.71998241,34.5270591716
2008-04-18,1843.38,1901.64,1781.04,1832.86,2.90992549,38.476438209
2008-04-21,1922.63,1940.56,1800.43,1823.63,3.19274079,44.9947834696
2008-04-22,1788.31,1815.21,1708.52,1777.38,2.42422976,30.970651626
2008-04-23,1765.67,1850.04,1753.0,1842.76,2.71203199,36.262470308000005
2008-04-24,1984.99,2001.94,1927.41,1999.48,6.22580808,87.0090561959
2008-04-25,1983.62,2093.64,1963.37,2011.01,6.16360862,86.59453404899999
2008-04-28,1969.03,2104.07,1958.95,2091.21,6.75424568,96.63215479290001
2008-04-29,2082.67,2101.51,2050.95,2069.26,4.90257283,72.6577622563
2008-04-30,2084.02,2145.9,2073.11,2140.0,6.07267628,89.1869288341
2008-05-05,2153.54,2211.92,2113.21,2200.24,6.22739606,89.2533892683
2008-05-06,2185.77,2239.53,2161.91,2190.63,5.41631377,80.9889370083
2008-05-07,2168.86,2188.63,2086.88,2087.07,5.08470357,74.3184813163
2008-05-08,2054.66,2155.63,2047.76,2155.53,4.05443669,54.597542519300006
2008-05-09,2164.74,2228.94,2142.9,2193.68,5.54796063,82.7675326011
2008-05-12,2162.53,2305.61,2144.07,2279.57,6.02213852,95.37108591209999
2008-05-13,2204.96,2381.72,2197.3,2366.63,7.32588957,105.3204261166
2008-05-14,2358.53,2393.35,2288.13,2315.39,7.07014937,116.09675280290001
