date,close
2013-12-25,2335.0
2013-12-26,2327.0
2013-12-27,2333.0
2013-12-30,2342.0
2013-12-31,2345.0
2014-01-02,2342.0
2014-01-03,2333.0
2014-01-06,2344.0
2014-01-07,2359.0
2014-01-08,2364.0
2014-01-09,2368.0
2014-01-10,2365.0
2014-01-13,2366.0
2014-01-14,2363.0
2014-01-15,2360.0
2014-01-17,2358.0
2014-01-20,2363.0
2014-01-21,2358.0
2014-01-22,2358.0
2014-01-23,2361.0
2014-01-24,2358.0
2014-01-27,2365.0
2014-01-28,2365.0
2014-01-29,2365.0
2014-01-30,2361.0
2014-02-07,2361.0
2014-02-10,2337.0
2014-02-11,2340.0
2014-02-12,2339.0
2014-02-13,2344.0
2014-02-14,2345.0
2014-02-17,2342.0
2014-02-18,2342.0
2014-02-19,2340.0
2014-02-20,2345.0
2014-02-21,2347.0
2014-02-24,2343.0
2014-02-25,2341.0
2014-02-26,2343.0
2014-02-27,2342.0
2014-02-28,2341.0
2014-03-03,2357.0
2014-03-04,2358.0
2014-03-05,2359.0
2014-03-06,2354.0
2014-03-10,2349.0
2014-03-11,2353.0
2014-03-12,2357.0
2014-03-14,2381.0
2014-03-17,2374.0
2014-03-18,2375.0
2014-03-19,2373.0
2014-03-20,2367.0
2014-03-21,2369.0
2014-03-24,2373.0
2014-03-25,2368.0
2014-03-26,2355.0
2014-03-27,2356.0
2014-03-28,2354.0
2014-03-31,2354.0
2014-04-01,2352.0
2014-04-02,2337.0
2014-04-03,2347.0
2014-04-04,2351.0
2014-04-08,2352.0
2014-04-09,2352.0
2014-04-10,2352.0
2014-04-11,2345.0
2014-04-14,2354.0
2014-04-15,2362.0
2014-04-16,2353.0
2014-04-17,2356.0
2014-04-18,2351.0
2014-04-21,2345.0
2014-04-22,2363.0
2014-04-23,2358.0
2014-04-24,2357.0
2014-04-25,2363.0
2014-04-28,2368.0
2014-04-29,2365.0
2014-04-30,2372.0
2014-05-01,2374.0
2014-05-05,2378.0
2014-05-06,2374.0
2014-05-07,2369.0
2014-05-08,2365.0
2014-05-09,2363.0
2014-05-12,2369.0
2014-05-13,2369.0
2014-05-14,2364.0
2014-05-15,2356.0
2014-05-16,2351.0
2014-05-19,2355.0
2014-05-20,2356.0
2014-05-21,2359.0
2014-05-22,2368.0
2014-05-23,2368.0
2014-05-26,2366.0
2014-05-27,2369.0
2014-05-28,2371.0
2014-05-29,2394.0
2014-05-30,2387.0
2014-06-03,2382.0
2014-06-04,2381.0
2014-06-05,2379.0
2014-06-06,2377.0
2014-06-09,2377.0
2014-06-10,2381.0
2014-06-11,2386.0
